Anger_Index ,Anger_Middle,Anger_Ring
112.58,98.99,87.19
111.14,98.27,86.65
110.84,98.18,86.62
110.74,98.24,86.63
110.72,98.21,86.54
110.57,98.14,86.38
110.24,97.98,86.15
109.85,97.74,85.81
109.24,97.17,85.3
108.02,96.3,84.49
106.61,95.37,83.54
105.53,94.92,84.1
104.69,94.74,83.42
103.9,94.49,82.71
102.88,94.07,82.01
101.72,93.43,81.09
100.45,92.61,80.07
99.13,91.67,78.95
97.49,90.5,78.06
95.27,88.94,76.64
92.48,87.1,74.98
89.52,85.11,73.21
86.86,82.88,71.09
84.3,80.83,69.21
82.51,79.39,67.63
81.49,78.38,66.64
80.76,77.79,66.02
80.45,77.46,65.55
80.13,77.15,65.08
79.69,76.73,64.52
79.23,76.16,63.76
79.11,75.63,63.01
79.29,75.25,62.38
79.49,75.27,62.2
80.06,75.45,62.11
80.49,75.46,61.97
80.5,75.25,61.54
80.1,74.94,61.07
79.58,74.54,60.52
79.07,74.42,60.49
78.82,74.45,60.56
78.6,74.43,60.44
78.14,74.19,60.24
77.41,73.87,60.05
76.48,73.37,59.53
75.79,72.88,59
75.52,72.52,58.44
75.23,71.99,57.46
74.74,71.14,56.32
73.98,70.17,55.29
73.14,69.14,54.46
72.38,68.52,53.87
72.04,68.19,53.45
71.54,67.92,52.9
70.99,67.64,52.38
70.53,67.76,51.76
70.34,67.28,51.22
70.41,66.87,50.77
70.45,66.75,50.7
70.5,66.81,50.81
70.8,67.03,51.12
71.12,67.15,51.38
71.37,67.26,51.72
71.35,67.19,51.65
71.32,67.05,51.78
71.19,66.96,51.94
71.21,67.16,52.33
71.67,67.61,52.91
72.33,67.88,53.31
72.85,68.06,53.47
72.95,67.94,53.26
72.7,67.57,53.02
72.32,67.36,52.89
72.38,67.42,53.11
72.54,67.56,53.51
72.77,67.71,53.89
72.92,67.68,54.04
72.91,67.72,54.26
72.64,67.64,54.24
72.44,67.69,54.36
72.47,67.86,54.53
72.53,68,54.74
72.6,68.09,54.75
72.68,68.15,54.73
72.54,68.18,54.76
72.45,68.28,55.03
72.55,68.55,55.41
72.51,68.57,55.58
72.47,68.61,55.65
72.54,68.6,55.69
72.65,68.67,55.72
72.79,68.76,55.83
72.99,68.83,55.95
73.2,68.95,56.08
73.22,69,56.16
73.17,68.92,56.17
73.06,68.78,56.11
73.03,68.75,55.99
72.97,68.73,55.89
73.46,68.92,56.22
74,69.39,56.65
74.37,69.62,56.82
74.71,69.84,56.96
75.02,69.92,57
75.22,69.96,56.95
75.25,69.94,57.05
75.74,70.09,57.25
76.31,70.38,57.43
76.74,70.52,57.42
77.04,70.57,57.35
77.14,70.48,57.18
77.02,70.32,57.01
77.14,70.36,57.01
77.48,70.53,57.22
78.06,70.79,57.38
78.49,71.04,57.47
78.77,71.22,57.51
78.93,71.31,57.56
78.86,71.27,57.56
78.79,71.25,57.6
78.66,71.18,57.4
78.47,71.11,57.27
78.57,71.17,57.27
78.76,71.2,57.36
79.09,71.21,57.39
79.24,71.23,57.44
79.27,71.09,57.33
79.29,70.95,57.16
79.39,70.93,57.05
80.19,71.36,57.31
80.85,71.84,57.61
81.46,72.5,58.03
82.02,73.07,58.32
83.16,73.98,58.76
85.1,75.25,59.32
88.24,77.65,60.73
91.84,80.36,62.47
95.79,82.21,63.87
98.95,83.53,64.74
101.32,84.29,65.2
104.07,85.04,65.77
107.45,86.15,66.38
111.73,88.06,67.55
119.76,92.48,70.28
131.43,102.04,79.39
145.95,119.25,100.79
160.69,136.91,122.01
173.97,151.14,142.67
181.72,163.87,161.05
192.9,179.14,178.2
205.48,188.82,187.07
206.45,190.92,188.79
205.44,193.85,190.19
205.62,197.33,191.95
205.57,200.08,193.4
206,201.79,194.9
206.15,202.47,195.92
206.64,202.77,196.78
206.66,202.85,197.54
206.61,202.91,198.3
206.52,202.92,198.77
206.28,202.84,199.09
206.05,202.56,199.37
205.54,202.42,199.58
204.8,202.31,199.92
204.34,202.34,200.19
204.17,202.34,200.55
204.19,202.3,200.75
204.14,202.25,200.88
204.12,202.13,201.02
