Anger_Index ,Anger_Middle,Anger_Ring
-4.18,3.7,13.28
-4.16,3.66,13.3
-4.12,3.8,13.38
-4.04,3.93,13.46
-4.02,4.05,13.56
-3.92,4.14,13.6
-3.87,4.14,13.58
-3.88,4.17,13.48
-3.83,4.13,13.41
-3.78,4.16,13.42
-3.73,4.31,13.57
-3.6,4.38,13.63
-3.57,4.4,13.64
-3.66,4.38,13.63
-3.57,4.41,13.69
-3.57,4.48,13.75
-3.5,4.54,13.85
-3.37,4.67,13.95
-3.39,4.74,14.1
-3.38,4.76,14.14
-3.34,4.8,14.28
-3.31,4.91,14.41
-3.23,5.04,14.58
-3.2,5.13,14.64
-3.12,5.18,14.74
-3.1,5.24,14.69
-3.07,5.27,14.59
-3,5.27,14.53
-2.93,5.34,14.6
-2.81,5.43,14.68
-2.65,5.59,14.77
-2.65,5.82,14.91
-2.51,5.96,15.02
-2.42,6.02,15.06
-2.28,6.14,15.09
-2.25,6.31,15.3
-2.18,6.46,15.36
-2.05,6.64,15.56
-1.84,6.91,15.76
-1.64,7,15.86
-1.47,7.18,16.05
-1.21,7.53,16.28
-0.91,7.92,16.53
-0.57,8.35,16.89
-0.15,8.84,17.16
0,9.2,17.38
0.18,9.78,17.67
0.71,10.83,18.17
1.52,12.58,19.02
2.38,14.76,20.07
3.49,16.79,21.14
4.66,19.09,22.19
6.01,21.44,23.34
7.29,23.78,24.7
8.51,25.84,25.94
9.74,27.49,26.92
11.05,29.22,27.89
12.3,31.26,29.21
13.63,33.4,30.6
15.05,35.65,31.9
16.19,37.31,33.08
17.27,39.08,34.45
18.59,41.13,35.83
20.4,43.54,37.75
22.4,46.07,39.7
24.55,48.46,42.05
27.8,51.01,47.02
31.24,54.15,51.73
34.23,57.48,55.68
37.43,61.04,59.6
40.98,65.09,63.73
45.03,69.87,68.02
48.85,74.42,72.16
52.55,78.14,75.86
55.78,81.22,79.04
59.17,84.49,82.55
62.72,88.54,86.52
66.11,92.68,90.63
69.34,96.54,94.38
72.3,99.92,97.51
75.18,102.97,100.43
77.71,106,103.31
80.69,108.65,106.05
83.86,111.38,108.66
87.3,114.27,111.23
90.43,116.95,113.29
93.44,119.34,115.76
96.8,121.64,117.87
99.67,123.9,120.13
102.41,126.17,122.32
104.68,128.06,124.18
107.21,130.11,125.96
110.05,132.19,127.88
112.82,134.33,130.04
115.4,136.48,132.06
117.83,138.36,134.02
120.58,140.54,135.81
123.35,142.54,137.37
126.11,144.48,139.27
128.64,146.3,140.8
130.62,147.81,142.59
132.51,149.2,143.86
134.5,150.72,145.24
136.72,152.18,146.84
139.08,153.69,148.22
141.4,155.47,149.75
143.33,156.67,150.89
145.08,157.79,152.3
146.98,159.33,153.45
148.52,160.38,154.74
150.02,161.83,155.87
151.53,163.3,157.12
152.87,164.32,158.1
154.17,165.69,159.42
155.38,166.87,160.37
156.62,167.86,161.38
157.84,169.21,162.28
158.79,170.09,163.1
159.45,170.94,163.76
159.91,171.5,164.13
160.07,171.91,164.4
160.11,172.3,164.56
160.09,172.47,164.7
