Index finger,Middle finger,Ring  finger
91.28,97.06,96.53
89.8,96.11,95.56
88.17,95.08,94.68
86.5,94.12,93.86
84.82,93,93.14
83.16,91.91,92.3
81.65,90.94,91.47
80.23,89.86,90.56
78.88,88.71,89.71
77.53,87.46,88.72
76.34,86.24,87.76
75.28,85.08,86.81
74.28,84.02,86.02
73.55,83.02,85.37
72.6,82.11,84.67
71.62,81.22,83.87
70.42,80.26,83.11
69.38,79.36,82.35
68.38,78.53,81.64
67.52,77.67,80.84
66.63,76.93,80.18
65.91,76.32,79.66
65.42,75.74,79.15
65.03,75.21,78.59
64.68,74.63,78.01
64.27,74.07,77.51
63.84,73.52,77.03
63.49,73.1,76.56
63.2,72.63,76.12
62.86,72.16,75.72
62.59,71.73,75.31
62.36,71.37,74.97
62.28,71.01,74.65
62.18,70.65,74.27
62.05,70.34,73.97
61.88,69.89,73.53
61.6,69.4,73.05
61.31,68.94,72.6
60.98,68.49,72.15
60.63,68.06,71.69
60.28,67.67,71.24
60.01,67.33,70.88
59.74,66.93,70.44
59.6,66.43,69.88
59.28,65.92,69.35
58.94,65.48,68.87
58.6,65.09,68.51
58.32,64.75,68.17
58.06,64.47,67.89
57.82,64.23,67.66
57.47,63.87,67.31
57.03,63.5,66.99
56.69,63.13,66.63
56.4,62.74,66.24
56.2,62.26,65.76
56.03,61.85,65.33
55.86,61.38,64.96
55.69,61.01,64.54
55.49,60.51,64.14
55.25,60.15,63.87
55.04,59.8,63.49
54.8,59.53,63.17
54.66,59.3,62.95
54.43,59.06,62.73
54.24,58.88,62.43
53.95,58.59,62.2
53.74,58.43,62
53.58,58.3,61.86
53.51,58.22,61.75
53.43,58.15,61.74
53.37,58.1,61.72
53.29,58.04,61.61
53.25,57.95,61.6
53.18,57.83,61.5
53.1,57.81,61.37
53.12,57.69,61.23
53.17,57.64,61.1
53.4,57.54,61.06
53.62,57.58,60.92
53.71,57.56,60.82
53.91,57.6,60.77
54.05,57.64,60.68
54.25,57.79,60.69
54.47,57.88,60.73
54.74,57.99,60.69
54.91,58.07,60.68
55.14,58.17,60.73
55.37,58.22,60.71
55.57,58.34,60.74
55.73,58.36,60.72
55.83,58.35,60.69
55.98,58.43,60.7
56.14,58.58,60.74
56.55,58.82,60.81
57,59.14,60.97
57.43,59.41,61.11
57.77,59.72,61.28
58.01,59.94,61.38
58.2,60.09,61.5
58.33,60.21,61.57
58.29,60.27,61.62
58.17,60.22,61.57
58.14,60.23,61.63
58.04,60.29,61.64
58.11,60.34,61.72
58.27,60.5,61.87
58.51,60.56,61.92
58.73,60.71,62.04
58.91,60.83,62.11
58.88,60.86,62.1
58.85,60.83,62.11
58.73,60.79,62.06
58.53,60.71,61.99
58.26,60.65,61.96
57.83,60.54,61.87
57.41,60.37,61.83
57.02,60.25,61.73
56.7,60.03,61.63
56.37,59.9,61.59
56.14,59.83,61.57
56.01,59.87,61.59
55.85,59.87,61.59
55.73,59.9,61.54
55.53,59.88,61.56
55.2,59.86,61.5
54.72,59.83,61.49
54.35,59.83,61.46
54,59.75,61.45
53.74,59.67,61.43
53.49,59.6,61.41
53.32,59.61,61.45
53.09,59.57,61.44
52.81,59.53,61.44
52.48,59.44,61.46
52.21,59.32,61.48
51.96,59.35,61.55
51.84,59.34,61.63
51.73,59.37,61.63
51.66,59.36,61.71
51.55,59.41,61.7
51.52,59.45,61.77
51.57,59.55,61.84
51.66,59.61,61.91
51.77,59.69,61.98
51.91,59.85,62.09
52.14,60,62.22
52.48,60.22,62.36
52.85,60.51,62.61
53.2,60.69,62.75
53.46,60.91,62.91
53.66,61.05,62.99
53.83,61.17,63.06
53.96,61.12,63.02
54.11,61.14,62.97
54.26,61.14,63.01
54.52,61.21,63.03
55.01,61.34,63.13
55.65,61.53,63.2
56.22,61.69,63.25
56.77,61.71,63.18
57.25,61.74,63.2
57.64,61.8,63.22
58.05,61.81,63.19
58.44,61.83,63.25
58.7,61.89,63.27
58.98,61.91,63.28
59.26,61.96,63.29
59.59,61.97,63.3
59.98,62.03,63.38
60.35,62.2,63.5
60.73,62.32,63.55
60.98,62.36,63.57
61.1,62.4,63.62
61.11,62.44,63.65
61.08,62.47,63.7
60.99,62.54,63.76
60.95,62.65,63.79
60.93,62.77,63.97
60.9,62.9,64.1
60.81,63.05,64.23
60.59,63.1,64.32
60.38,63.17,64.33
60.14,63.07,64.25
59.83,63.03,64.2
59.43,62.97,64.18
59.08,63.02,64.15
58.82,62.96,64.17
58.53,62.93,64.09
58.29,62.91,64.11
58.07,62.91,64.16
57.7,62.86,64.11
57.46,62.85,64.12
57.25,62.74,64.07
56.99,62.72,64.06
56.85,62.7,64.05
56.52,62.71,64.08
56.67,62.73,64.14
56.54,62.72,64.06
56.4,62.74,64.09
56.23,62.76,64.05
56.12,62.75,64.08
56.03,62.8,64.13
55.97,62.86,64.19
55.94,62.93,64.27
55.78,62.96,64.29
55.68,63.05,64.29
55.58,63.05,64.33
55.51,63.14,64.37
55.4,63.2,64.44
55.29,63.3,64.52
55.14,63.43,64.64
55.22,63.62,64.83
55.17,63.64,64.83
55.04,63.65,64.78
54.86,63.72,64.81
54.71,63.85,64.91
54.68,64.04,65.05
54.63,64.16,65.16
54.61,64.17,65.17
54.52,64.16,65
54.24,64.11,64.9
53.79,64.23,65
53.55,64.6,65.21
53.59,64.92,65.54
53.8,65.44,65.89
54.08,65.96,66.25
54.44,66.4,66.53
54.74,66.81,66.81
54.97,67.25,67.17
55.13,67.76,67.51
55.39,68.35,67.84
55.96,68.96,68.26
56.48,69.58,68.61
56.79,70.05,68.78
57.2,70.51,69.05
57.6,71.08,69.33
58.01,71.53,69.69
58.7,72.18,70.12
59.45,72.84,70.69
60.1,73.52,71.17
60.69,74.07,71.7
61.28,74.63,72.15
61.87,75.2,72.57
62.64,75.97,73.14
63.51,76.73,73.67
64.39,77.35,74.19
65.3,78.02,74.65
66.18,78.62,75.1
67.12,79.24,75.64
68.14,79.99,76.32
69.45,80.94,77.18
70.74,81.82,78.08
71.98,82.7,78.85
73.39,83.71,79.74
74.89,84.84,80.72
76.42,86.2,81.83
78.04,87.63,83.18
79.89,89.26,84.72
81.85,91.08,86.54
83.92,92.99,88.39
85.95,94.86,90.31
88.09,96.81,92.23
90.02,98.69,94
92.26,100.86,96.13
94.6,103.06,98.36
97.02,105.24,100.68
99.36,107.33,102.82
101.83,109.23,104.88
104.2,110.89,106.78
106.63,112.48,108.6
109.34,113.99,110.37
111.92,115.59,112.11
114.39,117.21,113.85
116.75,118.79,115.53
119.13,120.38,117.23
121.44,121.99,118.91
123.74,123.47,120.52
126.03,124.83,122.02
128.18,126.29,123.65
130.29,127.79,125.24
132.44,129.27,126.92
134.52,130.94,128.71
136.7,132.61,130.42
138.66,134.16,132.07
140.5,135.64,133.74
142.35,137.21,135.67
144.31,138.92,137.72
146.36,140.88,139.88
148.37,142.83,142.01
150.08,144.58,144.02
151.45,146.11,145.69
152.85,147.51,147.38
154.12,148.88,148.82
155.29,150.17,150.34
156.5,151.44,151.81
157.6,152.62,153.27
158.67,153.95,154.7
159.63,155.08,156.08
160.47,156.1,157.4
161.26,157.11,158.6
161.95,157.92,159.74
162.64,158.71,160.68
163.24,159.43,161.63
163.71,160.03,162.41
163.99,160.78,163.22
164.13,161.27,163.97
164.22,161.68,164.6
164.24,162.04,165.11
164.2,162.27,165.58
164.2,162.55,166.06
164.13,162.72,166.41
164.05,162.93,166.76
164.05,163.08,167.09
163.96,163.25,167.34
163.96,163.39,167.52
163.9,163.44,167.72
163.87,163.55,167.89
163.79,163.62,168.03
163.75,163.75,168.23
163.73,163.78,168.41
163.68,163.88,168.57
163.63,163.95,168.69
163.6,163.97,168.79
163.61,164.01,168.8
163.54,164.05,168.92
163.5,164.11,169.02
163.46,164.11,169.13
163.43,164.17,169.29
163.4,164.25,169.42
163.34,164.24,169.53
163.27,164.21,169.6
163.22,164.22,169.64
163.14,164.27,169.77
163.12,164.31,169.95
163.02,164.38,170.13
162.99,164.36,170.25
162.92,164.39,170.42
162.9,164.5,170.51
162.83,164.49,170.69
162.77,164.56,170.81
162.69,164.56,170.9
162.72,164.61,171.05
162.62,164.67,171.15
162.57,164.74,171.25
162.53,164.77,171.36
162.49,164.84,171.4
162.5,164.85,171.47
162.5,164.89,171.5
162.54,164.86,171.58
162.52,164.97,171.6
162.54,165,171.68
162.6,165.07,171.78
162.59,165.11,171.83
162.65,165.14,171.84
162.69,165.15,171.86
162.64,165.17,171.92
162.67,165.22,171.93
162.72,165.22,171.96
162.7,165.23,172.01
162.69,165.25,172.02
162.66,165.22,172.09
162.77,165.26,172.07
162.71,165.33,172.08
162.74,165.31,172.13
162.74,165.34,172.13
162.75,165.34,172.14
162.72,165.31,172.15
162.67,165.27,172.14
162.74,165.32,172.21
162.78,165.35,172.23
162.79,165.36,172.25
162.78,165.44,172.25
162.87,165.46,172.31
162.86,165.47,172.33
162.84,165.47,172.3
162.79,165.45,172.3
162.81,165.44,172.37
162.82,165.49,172.38
162.84,165.5,172.43
162.88,165.52,172.45
